"tipo";"en";"fr";"japones_literal";"propuesta_1";"propuesta_2";"propuesta_3";"decision";"glosario_actual";"notas";"japones_original";"gameKeys";"usos"
"territory";"G-Savior Deck";"Ponton du Gardien-G";"Cubierta de combate del G-Savior";"Cubierta del G-Savior";"Plataforma del G-Savior";"";"Cubierta del G-Savior";"";"";"Gセイヴァー戦闘甲板";"PlaceName#3663.0";"duty,map,territory"
"territory";"Great Glacier";"Grand Glacier";"Gran glaciar";"Gran Glaciar";"Glaciar Mayor";"";"Gran Glaciar";"";"";"大氷河";"PlaceName#3487.0";"duty,map,territory"
"territory";"Greenroom";"Locaux de la Société de l'Arcadion";"Sala de espera";"Sala de Descanso";"Sala de Artistas";"";"Sala de Descanso";"";"";"控室";"PlaceName#4749.0";"map,marker,territory"
"territory";"Griffin Crossing";"Traversée du Griffon";"Gran puente del Grifo";"Paso del Grifo";"Puente del Grifo";"";"Paso del Grifo";"";"";"グリフィン大橋";"PlaceName#386.0";"duty,map,marker,territory"
"territory";"Groovy Ring";"Ring des Chorégraphies endiablées";"Ring del Baile (inglés transcrito)";"Cuadrilátero del Ritmo";"Ring del Baile";"";"Ring del Baile";"";"";"リング・オブ・ダンス";"PlaceName#5176.0";"duty,map,territory"
"territory";"Hall of Summoning";"Salle des convocations";"Intersticio dimensional: sala de invitados";"Sala de Invocación";"Salón de las Invocaciones";"";"Sala de Invocación";"";"";"次元の狭間：迎賓室";"PlaceName#379.0";"territory"
"territory";"Hall of the Bestiarii";"Hall des Bestiarii";"Sala del combate de bestias";"Sala de los Bestiarios";"Salón de los Bestiarios";"";"Sala de los Bestiarios";"";"";"獣闘の間";"PlaceName#694.0";"duty,marker,territory"
"territory";"Hall of the Unbound";"Salle d'audition des Affranchis";"Lugar provisional de audiciones";"Salón de los Libres";"Sala de los Liberados";"";"Salón de los Libres";"";"";"仮設オーディション会場";"PlaceName#4755.0";"map,territory"
"territory";"Haukke Manor";"Manoir des Haukke";"Residencia de Haukke; variante con «mansión de familia ilustre»";"Mansión Haukke";"Mansión de los Haukke";"";"Mansión Haukke";"";"";"ハウケタ御用邸 / 名門屋敷 ハウケタ御用邸";"PlaceName#59.0,PlaceName#102.0,PlaceName#1055.0";"duty,map,marker,territory"
"territory";"Haunted Manor";"Manoir hanté";"Mansión de fantasmas, Mansión Encantada";"Mansión Encantada";"Mansión Embrujada";"";"Mansión Encantada";"";"";"亡霊屋敷 ホーンテッドマナー";"PlaceName#1834.0";"duty,map,territory"
"territory";"Heart of the Creator";"Le Cœur du Créateur";"Corazón de Alexander (inglés transcrito)";"Corazón del Creador";"Corazón de Alexander";"";"Corazón del Creador";"";"";"ハート・オブ・アレキサンダー";"PlaceName#1847.0,PlaceName#1856.0";"duty,map,territory"
"territory";"Heart of the Sworn";"Hall d'argent";"Despacho del comandante de la unidad de yelmos de plata";"Corazón de los Juramentados";"Sala de los Juramentados";"";"Corazón de los Juramentados";"";"";"銀冑団総長室";"PlaceName#354.0";"map,territory"
"territory";"Heaven-on-High";"Pilier des Cieux";"Pilar del Cielo (nombre japonés)";"Pilar de los Cielos";"Cielo en las Alturas";"";"Pilar de los Cielos";"";"";"アメノミハシラ";"PlaceName#2775.0";"duty,map,marker,territory"
"territory";"Hell on Rails";"Voie ferroviaire";"Vía del carruaje de hierro";"Infierno sobre Raíles";"Infierno Ferroviario";"";"Infierno sobre Raíles";"";"";"鉄馬車線路";"PlaceName#5367.0";"duty,map,territory"
"territory";"Hells' Kier";"Fond des enfers";"Fondo del infierno";"Fondo de los Infiernos";"Abismo de los Infiernos";"";"Abismo de los Infiernos";"";"";"獄之底";"PlaceName#2496.0";"duty,map,territory"
"territory";"Hells' Lid";"Couvercle des enfers";"Tapa del infierno / aguas próximas a la Tapa del Infierno";"Tapa de los Infiernos";"Cubierta de los Infiernos";"";"Cubierta de los Infiernos";"";"";"獄之蓋 / 獄之蓋近海";"PlaceName#1028.0,PlaceName#2762.0";"duty,map,marker,territory"
"territory";"Heritage Found";"L'Hoirie recouvrée";"Herencia Hallada (inglés transcrito)";"Herencia Recobrada";"Legado Recuperado";"Herencia Hallada";"Herencia Recobrada";"la Herencia Recobrada";"";"ヘリテージファウンド";"PlaceName#4509.0";"map,marker,territory"
"territory";"Hidden Gorge";"Gorge dérobée";"Garganta Oculta (inglés transcrito)";"Garganta Oculta";"Desfiladero Escondido";"";"Garganta Oculta";"";"";"ヒドゥンゴージ";"PlaceName#2589.0";"duty,map,territory"
"territory";"Holminster Switch";"Holminster";"Holminster (nombre transcrito)";"Cruce de Holminster";"Paso de Holminster";"";"Cruce de Holminster";"";"";"ホルミンスター";"PlaceName#3050.0";"duty,map,marker,territory"
"territory";"Hullbreaker Isle";"Île de Crèvecarène";"Isla Rompecascos (inglés transcrito)";"Isla Rompecascos";"Isla Quiebracascos";"";"Isla Rompecascos";"";"";"ハルブレーカー・アイル";"PlaceName#1377.0";"duty,map,marker,territory"
"territory";"Hunter's Ring";"Ring du Champion lupin";"Ring del Lobo (inglés transcrito)";"Cuadrilátero del Cazador";"Ring del Cazador";"";"Ring del Cazador";"";"";"リング・オブ・ウルフ";"PlaceName#5177.0";"duty,map,territory"
"territory";"IC-04 Main Bridge";"Pont principal RCI-04";"Cuarta nave de clase Ragnarok: primer puente";"IC-04: Puente Principal";"IC-04: Puente de Mando";"";"IC-04: Puente de Mando";"";"";"ラグナロク級四番艦：第一艦橋";"PlaceName#1410.0";"territory"
"territory";"IC-06 Central Decks";"Secteur central RCI-06";"Sexta nave de clase Ragnarok: sección central del casco";"IC-06: Cubiertas Centrales";"IC-06: Sección Central";"";"IC-06: Cubiertas Centrales";"";"";"ラグナロク級六番艦：艦体中央部";"PlaceName#1406.0";"duty,map,territory"
"territory";"IC-06 Main Bridge";"Pont principal RCI-06";"Sexta nave de clase Ragnarok: primer puente";"IC-06: Puente Principal";"IC-06: Puente de Mando";"";"IC-06: Puente de Mando";"";"";"ラグナロク級六番艦：第一艦橋";"PlaceName#1408.0";"duty,map,marker,territory"
"territory";"IC-06 Regeneration Grid";"Réseau de régénération RCI-06";"Sexta nave de clase Ragnarok: zona de control de regeneración";"IC-06: Red de Regeneración";"IC-06: Malla Regenerativa";"";"IC-06: Red de Regeneración";"";"";"ラグナロク級六番艦：再生制御区";"PlaceName#1407.0";"duty,map,territory"
"territory";"Ingleside Apartment";"Le Coin de l'Âtre (appartement)";"Rincón del Hogar (inglés transcrito): habitación";"Apartamento del Rincón del Hogar";"Apartamento del Rincón de la Lumbre";"";"Apartamento del Rincón del Hogar";"";"";"イングルサイド：部屋";"PlaceName#3695.0";"map,territory"
"territory";"Ingleside Apartment Lobby";"Le Coin de l'Âtre (hall)";"Rincón del Hogar (inglés transcrito): vestíbulo";"Vestíbulo de los Apartamentos Rincón del Hogar";"Vestíbulo del Rincón del Hogar";"";"Vestíbulo de los Apartamentos Rincón del Hogar";"";"";"イングルサイド：ロビー";"PlaceName#3694.0";"map,territory"
"territory";"Intercessory";"Salle de réception";"Sala de recepción";"Sala de Recepciones";"Sala de Audiencias";"";"Sala de Recepciones";"";"";"応接室";"PlaceName#1429.0";"map,marker,territory"
"territory";"Jeuno: The First Walk";"Jeuno - La première perambulation";"Jeuno: Primer Paseo (inglés transcrito)";"Jeuno: Primera Travesía";"Jeuno: Primer Recorrido";"";"Jeuno: Primera Travesía";"";"";"ジュノ：ザ・ファーストウォーク";"PlaceName#5138.0";"duty,map,marker,territory"
"territory";"Kanilokka Corpus Substructure";"Sous-sol de l'Institut Kanilokka";"Subsuelo del instituto tecnológico Kanilokka";"Subsuelo del Instituto Kanilokka";"Subestructura del Complejo Kanilokka";"";"Subsuelo del Instituto Kanilokka";"";"";"カニロッカ技研地下";"PlaceName#5466.0";"duty,map,territory"
"territory";"Keybound Square";"Square des clavistes";"Plaza de los Vinculados a la Llave (inglés transcrito)";"Plaza de los Vinculados a la Llave";"Plaza de los Portadores de la Llave";"Plaza de Keybound";"Plaza de los Vinculados a la Llave";"la Plaza de Keybound";"";"キーバウンドスクウェア";"PlaceName#4962.0";"map,territory"
"territory";"Kobai Goten Apartment";"Kobai Goten (appartement)";"Palacio del Ciruelo Rojo: habitación";"Apartamento de Kobai Goten";"Apartamento del Palacio del Ciruelo Rojo";"";"Apartamento de Kobai Goten";"";"";"紅梅御殿：部屋";"PlaceName#2273.0";"map,territory"
"territory";"Kobai Goten Apartment Lobby";"Kobai Goten (hall)";"Palacio del Ciruelo Rojo: vestíbulo";"Vestíbulo de los Apartamentos Kobai Goten";"Vestíbulo de Kobai Goten";"";"Vestíbulo de los Apartamentos Kobai Goten";"";"";"紅梅御殿：ロビー";"PlaceName#2272.0";"map,territory"
"territory";"Ktisis Hyperboreia";"Hyperborée / L'Hyperborée";"Instituto de creación Hyperboreia";"Instituto de Creación de Hyperboreia";"Ktisis Hyperboreia";"";"Instituto de Creación de Hyperboreia";"";"";"ヒュペルボレア造物院";"PlaceName#3759.0,PlaceName#3943.0";"duty,map,marker,territory"
"territory";"Kugane Castle";"Château de Kugane";"Castillo de Kugane";"Castillo de Kugane";"Fortaleza de Kugane";"";"Castillo de Kugane";"";"";"クガネ城";"PlaceName#2298.0";"duty,map,marker,territory"
"territory";"Kugane Ohashi";"Pont Ohashi / Revanche au vieux château";"Gran puente de Kugane / combate de exterminio del verdadero Gilgamesh";"Gran Puente de Kugane";"Puente Ohashi de Kugane";"";"Gran Puente de Kugane";"";"";"クガネ大橋 / 真ギルガメッシュ討滅戦";"PlaceName#2499.0,PlaceName#2932.0";"duty,map,territory"
"territory";"Labyrinth of the Ancients";"Dédale antique";"Laberinto de los pueblos antiguos";"Laberinto de los Antiguos";"Laberinto Ancestral";"";"Laberinto de los Antiguos";"";"";"古代の民の迷宮";"PlaceName#478.0";"duty,map,marker,territory"
"territory";"Lakeland";"Grand-Lac";"Tierra de Lagos (inglés transcrito)";"Tierra de Lagos";"Región Lacustre";"Tierras del Lago";"Tierra de Lagos";"Lakeland";"Protegido en el glosario; revisar esa protección si se traduce.";"レイクランド";"PlaceName#2953.0,PlaceName#3514.0";"duty,map,mapsub,marker,territory"
"territory";"Laxan Loft";"Château de Ganlag";"Castillo de Laxan";"Castillo de Laxan";"Torreón de Laxan";"Altillo Laxan";"Castillo de Laxan";"el Altillo Laxan";"";"ラクサン城";"PlaceName#3053.0,PlaceName#3620.0";"duty,map,marker,territory"
"territory";"Lemures Headquarters";"Repaire des Lémures";"Oficina de los Lemures";"Sede de los Lémures";"Cuartel de los Lémures";"";"Sede de los Lémures";"";"";"レムレースのオフィス";"PlaceName#4022.0";"map,territory"
"territory";"Leofard's Chambers";"Cabine de Leofard";"Habitación privada de Leofard";"Aposentos de Leofard";"Camarote de Leofard";"";"Aposentos de Leofard";"";"";"レオファードの私室";"PlaceName#1804.0";"map,marker,territory"
"territory";"Lily Hills Apartment";"Plaine-aux-Lys (appartement)";"Colinas de los Lirios: habitación";"Apartamento de Colinas de los Lirios";"Apartamento de las Lomas de Lirios";"";"Apartamento de Colinas de los Lirios";"";"";"リリーヒルズ：部屋";"PlaceName#1814.0";"map,territory"
"territory";"Lily Hills Apartment Lobby";"Plaine-aux-Lys (hall)";"Colinas de los Lirios: vestíbulo";"Vestíbulo de los Apartamentos Colinas de los Lirios";"Vestíbulo de Colinas de los Lirios";"";"Vestíbulo de los Apartamentos Colinas de los Lirios";"";"Coordinar Lily Hills en vestíbulo, apartamento y nombre del edificio.";"リリーヒルズ：ロビー";"PlaceName#1813.0";"map,territory"
"territory";"Lilyswim";"Alentours du lac aux Nénuphars";"Alrededores del lago de los nenúfares";"Lago de los Nenúfares";"Aguas de Nenúfares";"";"Lago de los Nenúfares";"";"";"睡蓮湖近郊";"PlaceName#5445.0";"map,territory"
"territory";"Liminal Space";"Univers différentiel";"Universo cerrado de diferencias";"Espacio Liminal";"Espacio del Umbral";"";"Espacio Liminal";"";"";"階差閉宇宙";"PlaceName#3017.0";"duty,map,territory"
"territory";"Limsa Lominsa Lower Decks";"Limsa Lominsa - L'Entrepont";"Limsa Lominsa: nivel de la cubierta inferior";"Limsa Lominsa: Cubiertas Bajas";"Limsa Lominsa: Cubierta Inferior";"";"Limsa Lominsa: Cubierta Inferior";"";"";"リムサ・ロミンサ：下甲板層";"PlaceName#29.0";"aetheryte,duty,map,marker,territory"
"territory";"Limsa Lominsa Upper Decks";"Limsa Lominsa - Le Tillac";"Limsa Lominsa: nivel de la cubierta superior";"Limsa Lominsa: Cubiertas Altas";"Limsa Lominsa: Cubierta Superior";"";"Limsa Lominsa: Cubierta Superior";"";"";"リムサ・ロミンサ：上甲板層";"PlaceName#28.0";"duty,map,marker,territory"
"territory";"Living Memory";"La Mémoire vivante";"Memoria Viva (inglés transcrito)";"Memoria Viva";"Recuerdo Vivo";"";"Memoria Viva";"la Memoria Viva";"";"リビング・メモリー";"PlaceName#4510.0";"map,marker,territory"
"territory";"Lotus Stand";"Chaire du Lotus";"Mesa baja del sabio silencioso";"Estrado del Loto";"Tribuna del Loto";"";"Estrado del Loto";"el Estrado del Loto";"";"不語仙の座卓";"PlaceName#347.0";"map,territory"
"territory";"Lovely Lovering";"Ring de l'Amour mielleux";"Ring del Amor (inglés transcrito)";"Cuadrilátero del Amor";"Ring del Dulce Amor";"";"Cuadrilátero del Amor";"";"";"リング・オブ・ラブ";"PlaceName#5102.0";"duty,map,territory"
"territory";"Lower Aetheroacoustic Exploratory Site";"Site d'exploration impérial inférieur / Site impérial d'exploration inférieur";"Galería de exploración del Meteoro: zona profunda / zona profunda de exploración";"Zona Inferior de Exploración Eteroacústica";"Yacimiento Inferior de Exploración Eteroacústica";"";"Zona Inferior de Exploración Eteroacústica";"";"";"メテオ探査坑深部 / 探査坑深部";"PlaceName#465.0,PlaceName#891.0";"duty,map,territory"
"territory";"Lower Jeuno";"Bas Jeuno";"Nivel inferior de Jeuno";"Bajo Jeuno";"Jeuno Inferior";"";"Bajo Jeuno";"";"";"ジュノ下層";"PlaceName#5139.0,PlaceName#5145.0";"map,mapsub,marker,territory"
"territory";"Lower La Noscea";"Basse-Noscea";"Tierras bajas de La Noscea";"Baja La Noscea";"Tierras Bajas de La Noscea";"";"Baja La Noscea";"las Tierras Bajas de La Noscea";"";"低地ラノシア";"PlaceName#31.0";"duty,map,marker,territory"
"territory";"Maelstrom Barracks";"Caserne du Maelstrom";"Cuartel de la orden del remolino negro";"Cuartel del Maelstrom";"Barracones del Maelstrom";"";"Barracones del Maelstrom";"";"";"黒渦団兵舎";"PlaceName#1802.0";"map,marker,territory"
"territory";"Main Bridge";"Pont principal / Premier pont RCI-03";"Tercera nave de clase Ragnarok: primer puente / primer puente";"Puente Principal";"Puente de Mando";"";"Puente Principal";"";"";"ラグナロク級三番艦：第一艦橋 / 第一艦橋";"PlaceName#904.0,PlaceName#1305.0";"territory"
"territory";"Main Deck";"Pont du navire / Pont principal";"Cubierta principal del Lady Radlia / a bordo de un barco en alta mar";"Cubierta Principal";"Cubierta Mayor";"";"Cubierta Principal";"";"";"レディ・ラドリア号主甲板 / 大洋の船上";"PlaceName#1877.0,PlaceName#4750.0,PlaceName#4758.0";"map,marker,territory"
"territory";"Main Hall";"Salon principal";"Salón principal (inglés transcrito)";"Salón Principal";"Sala Mayor";"";"Salón Principal";"";"";"メインホール";"PlaceName#3817.0";"map,territory"
"territory";"Malikah's Well";"Puits de Malikah";"Gran pozo de Malikah";"Pozo de Malikah";"Gran Pozo de Malikah";"";"Gran Pozo de Malikah";"";"";"マリカの大井戸";"PlaceName#3028.0,PlaceName#3139.0";"duty,map,marker,territory"
"territory";"Manor Basement";"Sous-sol du vieux manoir";"Sótano de la casa abandonada";"Sótano de la Mansión";"Subsuelo de la Mansión";"";"Sótano de la Mansión";"";"";"廃屋の地下室";"PlaceName#5120.0";"duty,map,territory"
"territory";"Matoya's Cave";"Caverne de Matoya";"Cueva de Matoya";"Cueva de Matoya";"Caverna de Matoya";"";"Caverna de Matoya";"";"";"マトーヤの洞窟";"PlaceName#2036.0";"map,marker,territory"
"territory";"Matoya's Relict";"Atelier abandonné de Matoya";"Taller de Matoya";"Legado de Matoya";"Taller Abandonado de Matoya";"";"Taller Abandonado de Matoya";"";"";"マトーヤのアトリエ";"PlaceName#3590.0";"duty,map,marker,territory"
"territory";"Medias Res";"Interstice du chant onirique";"Espacio de la imaginación poética";"En Plena Acción";"En Medio de Todo";"Medias Res";"Medias Res";"";"";"詩想空間";"PlaceName#4098.0,PlaceName#4099.0";"duty,map,territory"
"territory";"Meghaduta Guest Chambers";"Appartements du palais du Meghaduta";"Habitación de invitados del palacio Meghaduta";"Aposentos de Invitados de Meghaduta";"Habitaciones de Huéspedes de Meghaduta";"";"Aposentos de Invitados de Meghaduta";"";"";"メーガドゥータ宮の客間";"PlaceName#4039.0";"map,territory"
"territory";"Middle La Noscea";"Noscea centrale";"La Noscea central";"La Noscea Central";"Centro de La Noscea";"";"La Noscea Central";"la Noscea Central";"";"中央ラノシア";"PlaceName#30.0";"duty,map,marker,territory"
"territory";"Mist";"Brumée";"Aldea de la Bruma (inglés transcrito)";"Bruma";"La Bruma";"Niebla";"Bruma";"la Niebla";"";"ミスト・ヴィレッジ";"PlaceName#425.0,PlaceName#1161.0";"map,mapsub,marker,territory"
"territory";"Mistwake";"Sillage brumeux";"Estela de Bruma (inglés transcrito)";"Estela de Bruma";"Estela Brumosa";"";"Estela de Bruma";"";"";"ミストウェイク";"PlaceName#5350.0";"duty,map,marker,territory"
"territory";"Mizzenmast Inn";"Auberge de L'Artimon";"Posada «Palo de Mesana» (nombre inglés transcrito)";"Posada del Palo de Mesana";"Posada de la Mesana";"";"Posada del Palo de Mesana";"";"";"宿屋「ミズンマスト」";"PlaceName#733.0";"map,marker,territory"
"territory";"Mordion Gaol";"Geôle de Mordion";"Prisión de Mordion";"Prisión de Mordion";"Mazmorra de Mordion";"";"Prisión de Mordion";"";"";"モルディオン監獄";"PlaceName#153.0";"map,marker,territory"
"territory";"Mount Ordeals";"Mont du Supplice";"Montaña de las pruebas";"Monte de las Pruebas";"Monte de la Ordalía";"";"Monte de la Ordalía";"";"";"試練の山";"PlaceName#4289.0";"duty,map,territory"
"territory";"Mount Rokkon";"Mont Rokkon";"Montaña de las seis raíces";"Monte Rokkon";"Montaña Rokkon";"";"Monte Rokkon";"Mount Rokkon";"Protegido en el glosario; revisar esa protección si se traduce.";"六根山";"PlaceName#4308.0";"duty,map,territory"
"territory";"Mt. Gulg";"Mont Gulg";"Volcán Gulg";"Monte Gulg";"Volcán Gulg";"";"Monte Gulg";"";"";"グルグ火山";"PlaceName#2997.0";"duty,map,marker,territory"
"territory";"Neverreap";"Nalloncques";"Neverreap (nombre inglés transcrito, «nunca cosechar»)";"Nunca Siega";"Siega Estéril";"Neverreap";"Nuncasiega";"";"";"ネバーリープ";"PlaceName#2130.0";"duty,map,marker,territory"
"territory";"New Gridania";"Nouvelle Gridania";"Gridania: ciudad nueva";"Nueva Gridania";"Gridania Nueva";"";"Nueva Gridania";"";"";"グリダニア：新市街";"PlaceName#52.0";"aetheryte,map,marker,territory"
"territory";"North Horn";"Île de Lunule septentrionale";"Parte norte de la isla de la luna creciente";"Cuerno Norte";"Cuerno Septentrional";"";"Cuerno Norte";"";"";"三日月島北部";"PlaceName#5577.0";"duty,map,territory"
"territory";"North Shroud";"Forêt du nord";"Bosque de la Vestidura Negra: bosque septentrional";"Sudario Septentrional";"Bosque Septentrional";"Sudario Negro Septentrional";"Bosque del norte";"el Sudario Septentrional";"";"黒衣森：北部森林";"PlaceName#57.0";"duty,map,marker,territory"
"territory";"Northern Thanalan";"Thanalan septentrional";"Thanalan septentrional";"Thanalan Septentrional";"Norte de Thanalan";"";"Norte de Thanalan";"";"";"北ザナラーン";"PlaceName#46.0";"duty,map,marker,territory"
"territory";"Old Gridania";"Vieille Gridania";"Gridania: ciudad vieja";"Vieja Gridania";"Gridania Antigua";"";"Vieja Gridania";"Old Gridania";"";"グリダニア：旧市街";"PlaceName#53.0";"duty,map,marker,territory"
"territory";"Omega Control";"Salle de contrôle d'Oméga";"Sala de control de Omega";"Control de Omega";"Sala de Control de Omega";"";"Sala de Control de Omega";"";"";"オメガ管制室";"PlaceName#1887.0";"map,territory"
"territory";"Origenics";"L'Origenèse";"Origenics (nombre transcrito)";"Origenética";"Origenia";"";"Origenia";"Origenics";"Protegido en el glosario; revisar esa protección si se traduce.";"オリジェニクス";"PlaceName#5007.0";"duty,map,marker,territory"
"territory";"Outer La Noscea";"Noscea extérieure";"La Noscea exterior";"La Noscea Exterior";"Tierras Exteriores de La Noscea";"";"La Noscea Exterior";"";"";"外地ラノシア";"PlaceName#350.0";"duty,map,marker,territory"
"territory";"Phantom Village";"Ville fantôme";"Ciudad del espejismo";"Villa Fantasma";"Pueblo Fantasma";"";"Pueblo Fantasma";"el pueblo fantasma";"";"蜃気楼の町";"PlaceName#4757.0";"aethernet,map,marker,territory"
"territory";"Pharos Sirius";"Phare de Sirius";"Gran faro de Sirius; variante con «torre de aves monstruosas»";"Faro de Sirius";"Gran Faro de Sirius";"";"Faro de Sirius";"";"";"シリウス大灯台 / 怪鳥巨塔 シリウス大灯台";"PlaceName#230.0,PlaceName#927.0,PlaceName#1064.0";"duty,map,marker,territory"
"territory";"Pilgrim's Traverse";"Sanctuaire des pèlerins";"Travesía del Peregrino (inglés transcrito)";"Travesía del Peregrino";"Paso del Peregrino";"";"Travesía del Peregrino";"";"";"ピルグリム・トラバース";"PlaceName#5277.0";"duty,map,territory"
"territory";"Private Chambers - Empyreum";"Chambre individuelle - Empyrée";"Empíreo: habitación privada";"Habitación Privada - Empíreo";"Aposentos Privados de el Empíreo";"";"Habitación Privada - Empíreo";"";"El nombre del barrio depende de su propia decisión; aplicar la misma forma en toda la familia.";"エンピレアム：プライベートルーム";"PlaceName#3692.0";"map,territory"
"territory";"Private Chambers - Mist";"Chambre individuelle - Brumée";"Aldea de la Bruma: habitación privada";"Habitación Privada - Bruma";"Aposentos Privados de la Bruma";"";"Habitación Privada - Bruma";"";"El nombre del barrio depende de su propia decisión; aplicar la misma forma en toda la familia.";"ミスト・ヴィレッジ：プライベートルーム";"PlaceName#1157.0";"map,territory"
"territory";"Private Chambers - Shirogane";"Chambre individuelle - Shirogane";"Shirogane: habitación privada";"Habitación Privada - Shirogane";"Aposentos Privados de Shirogane";"";"Habitación Privada - Shirogane";"";"El nombre del barrio depende de su propia decisión; aplicar la misma forma en toda la familia.";"シロガネ：プライベートルーム";"PlaceName#2270.0";"map,territory"
"territory";"Private Chambers - The Goblet";"Chambre individuelle - La Coupe";"Butte de la Copa: habitación privada";"Habitación Privada - La Copa";"Aposentos Privados de la Copa";"";"Habitación Privada - El Cáliz";"";"El nombre del barrio depende de su propia decisión; aplicar la misma forma en toda la familia.";"ゴブレットビュート：プライベートルーム";"PlaceName#1158.0";"map,territory"
"territory";"Private Chambers - The Lavender Beds";"Chambre individuelle - Lavandière";"Lechos de Lavanda: habitación privada";"Habitación Privada - Lavandales";"Aposentos Privados de los Lavandales";"";"Habitación Privada - Las Camas de Lavanda";"";"El nombre del barrio depende de su propia decisión; aplicar la misma forma en toda la familia.";"ラベンダーベッド：プライベートルーム";"PlaceName#1159.0";"map,territory"
"territory";"Private Cottage - Empyreum";"Maisonnette - Empyrée";"Empíreo: casa de campo";"Casa Pequeña - Empíreo";"Casita de el Empíreo";"";"Casa Pequeña - Empíreo";"";"El nombre del barrio depende de su propia decisión; aplicar la misma forma en toda la familia.";"エンピレアム：コテージ";"PlaceName#3689.0";"map,territory"
"territory";"Private Cottage - Mist";"Maisonnette - Brumée";"Aldea de la Bruma: casa de campo";"Casa Pequeña - Bruma";"Casita de la Bruma";"";"Casa Pequeña - Bruma";"";"El nombre del barrio depende de su propia decisión; aplicar la misma forma en toda la familia.";"ミスト・ヴィレッジ：コテージ";"PlaceName#1100.0";"map,territory"
"territory";"Private Cottage - Shirogane";"Maisonnette - Shirogane";"Shirogane: casa de campo";"Casa Pequeña - Shirogane";"Casita de Shirogane";"";"Casa Pequeña - Shirogane";"";"El nombre del barrio depende de su propia decisión; aplicar la misma forma en toda la familia.";"シロガネ：コテージ";"PlaceName#1893.0";"map,territory"
"territory";"Private Cottage - The Goblet";"Maisonnette - La Coupe";"Butte de la Copa: casa de campo";"Casa Pequeña - La Copa";"Casita de la Copa";"";"Casa Pequeña - El Cáliz";"";"El nombre del barrio depende de su propia decisión; aplicar la misma forma en toda la familia.";"ゴブレットビュート：コテージ";"PlaceName#1103.0";"map,territory"
"territory";"Private Cottage - The Lavender Beds";"Maisonnette - Lavandière";"Lechos de Lavanda: casa de campo";"Casa Pequeña - Lavandales";"Casita de los Lavandales";"";"Casa Pequeña - Las Camas de Lavanda";"";"El nombre del barrio depende de su propia decisión; aplicar la misma forma en toda la familia.";"ラベンダーベッド：コテージ";"PlaceName#1106.0";"map,territory"
"territory";"Private House - Empyreum";"Pavillon - Empyrée";"Empíreo: casa";"Casa Mediana - Empíreo";"Casa de el Empíreo";"";"Casa Mediana - Empíreo";"";"El nombre del barrio depende de su propia decisión; aplicar la misma forma en toda la familia.";"エンピレアム：ハウス";"PlaceName#3690.0";"map,territory"
"territory";"Private House - Mist";"Pavillon - Brumée";"Aldea de la Bruma: casa";"Casa Mediana - Bruma";"Casa de la Bruma";"";"Casa Mediana - Bruma";"";"El nombre del barrio depende de su propia decisión; aplicar la misma forma en toda la familia.";"ミスト・ヴィレッジ：ハウス";"PlaceName#1101.0";"map,territory"
"territory";"Private House - Shirogane";"Pavillon - Shirogane";"Shirogane: casa";"Casa Mediana - Shirogane";"Casa de Shirogane";"";"Casa Mediana - Shirogane";"";"El nombre del barrio depende de su propia decisión; aplicar la misma forma en toda la familia.";"シロガネ：ハウス";"PlaceName#1894.0";"map,territory"
"territory";"Private House - The Goblet";"Pavillon - La Coupe";"Butte de la Copa: casa";"Casa Mediana - La Copa";"Casa de la Copa";"";"Casa Mediana - El Cáliz";"";"El nombre del barrio depende de su propia decisión; aplicar la misma forma en toda la familia.";"ゴブレットビュート：ハウス";"PlaceName#1104.0";"map,territory"
"territory";"Private House - The Lavender Beds";"Pavillon - Lavandière";"Lechos de Lavanda: casa";"Casa Mediana - Lavandales";"Casa de los Lavandales";"";"Casa Mediana - Las Camas de Lavanda";"";"El nombre del barrio depende de su propia decisión; aplicar la misma forma en toda la familia.";"ラベンダーベッド：ハウス";"PlaceName#1107.0";"map,territory"
"territory";"Private Mansion - Empyreum";"Villa - Empyrée";"Empíreo: residencia";"Mansión - Empíreo";"Casa Grande de el Empíreo";"";"Mansión - Empíreo";"";"El nombre del barrio depende de su propia decisión; aplicar la misma forma en toda la familia.";"エンピレアム：レジデンス";"PlaceName#3691.0";"map,territory"
"territory";"Private Mansion - Mist";"Villa - Brumée";"Aldea de la Bruma: residencia";"Mansión - Bruma";"Casa Grande de la Bruma";"";"Mansión - Bruma";"";"El nombre del barrio depende de su propia decisión; aplicar la misma forma en toda la familia.";"ミスト・ヴィレッジ：レジデンス";"PlaceName#1102.0";"map,territory"
"territory";"Private Mansion - Shirogane";"Villa - Shirogane";"Shirogane: residencia";"Mansión - Shirogane";"Casa Grande de Shirogane";"";"Mansión - Shirogane";"";"El nombre del barrio depende de su propia decisión; aplicar la misma forma en toda la familia.";"シロガネ：レジデンス";"PlaceName#1895.0";"map,territory"
"territory";"Private Mansion - The Goblet";"Villa - La Coupe";"Butte de la Copa: residencia";"Mansión - La Copa";"Casa Grande de la Copa";"";"Mansión - El Cáliz";"";"El nombre del barrio depende de su propia decisión; aplicar la misma forma en toda la familia.";"ゴブレットビュート：レジデンス";"PlaceName#1105.0";"map,territory"
